flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
TH 3508_2026-08-20,TH 3508,RMY,2026-08-20,03:45,KUL,,,departure,2026-08-18T17:00:06+08:00
3S 502_2026-08-20,3S 502,BOX,2026-08-20,04:00,LAX,,,departure,2026-08-18T17:00:06+08:00
3Y 6011_2026-08-20,3Y 6011,MYU,2026-08-20,04:00,CGK,,,departure,2026-08-18T17:00:06+08:00
QR 8433_2026-08-20,QR 8433,QTR,2026-08-20,04:00,DOH,,,departure,2026-08-18T17:00:06+08:00
HJ 022_2026-08-20,HJ 022,TMN,2026-08-20,04:00,SYD,,,departure,2026-08-18T17:00:06+08:00
LD 720_2026-08-20,LD 720,AHK,2026-08-20,04:05,CTU,,,departure,2026-08-18T17:00:06+08:00
3G 841_2026-08-20,3G 841,WCM,2026-08-20,04:15,BKI,Est at 04:00,,departure,2026-08-18T17:00:06+08:00
TH 3091_2026-08-20,TH 3091,RMY,2026-08-20,04:15,PEN,,,departure,2026-08-18T17:00:06+08:00
LD 680_2026-08-20,LD 680,AHK,2026-08-20,04:20,TPE,,,departure,2026-08-18T17:00:06+08:00
MB 6040_2026-08-20,MB 6040,MNB,2026-08-20,04:30,SHJ,Est at 04:50,,departure,2026-08-18T17:00:06+08:00
QR 8023_2026-08-20,QR 8023,QTR,2026-08-20,04:30,DOH,,,departure,2026-08-18T17:00:06+08:00
MB 430_2026-08-20,MB 430,MNB,2026-08-20,05:30,"CRZ, IST",,,departure,2026-08-18T17:00:06+08:00
3S 715_2026-08-20,3S 715,BOX,2026-08-20,05:35,"DXB, LEJ",,,departure,2026-08-18T17:00:06+08:00
3S 733_2026-08-20,3S 733,BOX,2026-08-20,05:40,"BLR, LEJ",,,departure,2026-08-18T17:00:06+08:00
ES 720_2026-08-20,ES 720,DHX,2026-08-20,05:40,BAH,,,departure,2026-08-18T17:00:06+08:00
3S 725_2026-08-20,3S 725,BOX,2026-08-20,05:45,"DXB, LEJ",,,departure,2026-08-18T17:00:06+08:00
EK 9835_2026-08-20,EK 9835,UAE,2026-08-20,05:45,DWC,Est at 22:20,,departure,2026-08-18T17:00:06+08:00
FX 5025_2026-08-20,FX 5025,FDX,2026-08-20,06:20,"IST, CDG, LGG, MEM",,,departure,2026-08-18T17:00:06+08:00
K4 255_2026-08-20,K4 255,CKS,2026-08-20,06:40,"YHM, JFK, CVG",,,departure,2026-08-18T17:00:06+08:00
D0 593_2026-08-20,D0 593,DHK,2026-08-20,06:40,"DEL, EMA",,,departure,2026-08-18T17:00:06+08:00
K4 241_2026-08-20,K4 241,CKS,2026-08-20,07:00,"ANC, CVG",,,departure,2026-08-18T17:00:06+08:00
T8 4716_2026-08-20,T8 4716,TVR,2026-08-20,07:00,KWI,,,departure,2026-08-18T17:00:06+08:00
RH 331_2026-08-20,RH 331,HKC,2026-08-20,07:00,BKK,,,departure,2026-08-18T17:00:06+08:00
CK 264_2026-08-20,CK 264,CKK,2026-08-20,07:00,CKG,,,departure,2026-08-18T17:00:06+08:00
LD 8535_2026-08-20,LD 8535,AHK,2026-08-20,07:05,HAN,,,departure,2026-08-18T17:00:06+08:00
3S 507_2026-08-20,3S 507,BOX,2026-08-20,07:40,LEJ,,,departure,2026-08-18T17:00:06+08:00
CX 3280_2026-08-20,CX 3280,CPA,2026-08-20,08:05,"ANC, LAX, PDX",,,departure,2026-08-18T17:00:06+08:00
3S 503_2026-08-20,3S 503,BOX,2026-08-20,08:30,LEJ,,,departure,2026-08-18T17:00:06+08:00
CC 4800_2026-08-20,CC 4800,ABD,2026-08-20,09:20,CMB,,,departure,2026-08-18T17:00:06+08:00
RH 371_2026-08-20,RH 371,HKC,2026-08-20,09:35,SIN,,,departure,2026-08-18T17:00:06+08:00
QY 653_2026-08-20,QY 653,BCS,2026-08-20,09:50,"GYD, LEJ",,,departure,2026-08-18T17:00:06+08:00
O3 268_2026-08-20,O3 268,CSS,2026-08-20,09:55,NGB,,,departure,2026-08-18T17:00:06+08:00
CX 043_2026-08-20,CX 043,CPA,2026-08-20,10:10,DEL,,,departure,2026-08-18T17:00:06+08:00
5X 067_2026-08-20,5X 067,UPS,2026-08-20,10:25,"ICN, ANC, SDF",,,departure,2026-08-18T17:00:06+08:00
CV 976_2026-08-20,CV 976,CLX,2026-08-20,10:30,"ASB, LUX",,,departure,2026-08-18T17:00:06+08:00
MP 9432_2026-08-20,MP 9432,MPH,2026-08-20,10:35,"GYD, AMS",,,departure,2026-08-18T17:00:06+08:00
BR 6530_2026-08-20,BR 6530,EVA,2026-08-20,11:05,TPE,,,departure,2026-08-18T17:00:06+08:00
CI 5832_2026-08-20,CI 5832,CAL,2026-08-20,11:15,TPE,,,departure,2026-08-18T17:00:06+08:00
5X 003_2026-08-20,5X 003,UPS,2026-08-20,11:25,"BLR, CGN, PHL",,,departure,2026-08-18T17:00:06+08:00
5Y 8030_2026-08-20,5Y 8030,GTI,2026-08-20,11:25,"ANC, MIA",,,departure,2026-08-18T17:00:06+08:00
CX 036_2026-08-20,CX 036,CPA,2026-08-20,11:55,KIX,,,departure,2026-08-18T17:00:06+08:00
RH 9631_2026-08-20,RH 9631,HKC,2026-08-20,12:00,NMI,,,departure,2026-08-18T17:00:06+08:00
QR 8427_2026-08-20,QR 8427,QTR,2026-08-20,12:10,DOH,,,departure,2026-08-18T17:00:06+08:00
