==> past_data/changed_flights_2026-06-01.csv <==
5X 065_2026-06-08,5X 065,UPS,2026-06-08,13:20,"ANC, SDF",Cancelled,,departure,
TK 6393_2026-06-08,TK 6393,THY,2026-06-08,14:55,IST,Cancelled,,departure,
5X 001_2026-06-08,5X 001,UPS,2026-06-08,15:40,"CGN, PHL",Cancelled,,departure,
RH 9457_2026-06-08,RH 9457,HKC,2026-06-08,18:55,DEL,Cancelled,,departure,
7L 147_2026-06-08,7L 147,AZG,2026-06-08,20:25,GYD,Cancelled,,departure,
ET 3229_2026-06-08,ET 3229,ETH,2026-06-08,21:30,ADD,Cancelled,,departure,
HE 816_2026-06-09,HE 816,HGO,2026-06-09,09:00,SHJ,Cancelled,,departure,
ET 3035_2026-06-09,ET 3035,ETH,2026-06-09,09:30,ADD,Cancelled,,departure,
RH 6651_2026-06-09,RH 6651,HKC,2026-06-09,12:30,DAC,Cancelled,,departure,
TC 503_2026-06-09,TC 503,ATC,2026-06-09,14:55,MCT,Cancelled,,departure,
7L 247_2026-06-09,7L 247,AZG,2026-06-09,18:15,GYD,Cancelled,,departure,
7L 572_2026-06-09,7L 572,AZG,2026-06-09,18:35,GYD,Cancelled,,departure,
AK 8535_2026-06-09,AK 8535,AXM,2026-06-09,21:55,KUL,Cancelled,,departure,
7L 648_2026-06-09,7L 648,AZG,2026-06-09,21:55,GYD,Cancelled,,departure,
WW 109_2026-06-09,WW 109,KXP,2026-06-09,22:00,KUL,Cancelled,,departure,
ET 3447_2026-06-09,ET 3447,ETH,2026-06-09,23:30,ADD,Cancelled,,departure,
ET 3791_2026-06-10,ET 3791,ETH,2026-06-10,00:00,LGG,Cancelled,,departure,
3G 801_2026-06-10,3G 801,WCM,2026-06-10,00:30,KUL,Cancelled,,departure,
MS 510_2026-06-10,MS 510,MSR,2026-06-10,01:00,BKK,Cancelled,,departure,
WW 891_2026-06-10,WW 891,KXP,2026-06-10,03:55,KUL,Cancelled,,departure,
SV 985_2026-06-10,SV 985,SVA,2026-06-10,07:00,RUH,Cancelled,,departure,
CK 264_2026-06-10,CK 264,CKK,2026-06-10,07:00,CKG,Cancelled,,departure,
ET 3767_2026-06-10,ET 3767,ETH,2026-06-10,07:10,LGG,Cancelled,,departure,
Z7 322_2026-06-10,Z7 322,CMS,2026-06-10,07:30,"ALA, TBS",Cancelled,,departure,
EK 9851_2026-06-10,EK 9851,UAE,2026-06-10,08:20,DWC,Cancelled,,departure,
5Y 8131_2026-06-10,5Y 8131,GTI,2026-06-10,12:35,"DEL, ANC",Cancelled,,departure,
WW 862_2026-06-10,WW 862,KXP,2026-06-10,14:45,KUL,Cancelled,,departure,
5X 001_2026-06-10,5X 001,UPS,2026-06-10,15:40,CGN,Cancelled,,departure,
P9 881_2026-06-10,P9 881,MGE,2026-06-10,16:10,GUM,Cancelled,,departure,
SV 975_2026-06-10,SV 975,SVA,2026-06-10,17:30,JED,Cancelled,,departure,
7L 1923_2026-06-10,7L 1923,AZG,2026-06-10,18:20,GYD,Cancelled,,departure,
7L 624_2026-06-10,7L 624,AZG,2026-06-10,18:25,GYD,Cancelled,,departure,
SV 963_2026-06-10,SV 963,SVA,2026-06-10,21:35,RUH,Cancelled,,departure,
D0 007_2026-06-10,D0 007,DHK,2026-06-10,21:40,"CVG, EMA",Cancelled,,departure,
WW 109_2026-06-10,WW 109,KXP,2026-06-10,22:00,KUL,Cancelled,,departure,
3G 801_2026-06-11,3G 801,WCM,2026-06-11,00:30,KUL,Cancelled,,departure,
WW 891_2026-06-11,WW 891,KXP,2026-06-11,03:55,KUL,Cancelled,,departure,
RH 331_2026-06-11,RH 331,HKC,2026-06-11,07:00,BKK,Cancelled,,departure,
5Y 8523_2026-06-11,5Y 8523,GTI,2026-06-11,07:30,"ANC, ORD",Cancelled,,departure,
CV 531_2026-06-11,CV 531,CLX,2026-06-11,08:35,"GYD, LUX",Cancelled,,departure,
CC 4600_2026-06-11,CC 4600,ABD,2026-06-11,09:30,"CMB, JNB",Cancelled,,departure,
CV 976_2026-06-11,CV 976,CLX,2026-06-11,10:30,"NQZ, LUX",Cancelled,,departure,
5Y 8030_2026-06-11,5Y 8030,GTI,2026-06-11,11:25,"ANC, MIA",Cancelled,,departure,
RH 9457_2026-06-11,RH 9457,HKC,2026-06-11,13:20,DEL,Cancelled,,departure,
SE 1105_2026-06-11,SE 1105,SVI,2026-06-11,19:30,"CCU, RKT, CAI, WAW",Cancelled,,departure,
7L 147_2026-06-11,7L 147,AZG,2026-06-11,20:25,GYD,Cancelled,,departure,
SV 3961_2026-06-11,SV 3961,SVA,2026-06-11,21:15,DMM,Cancelled,,departure,
7L 692_2026-06-11,7L 692,AZG,2026-06-11,21:20,GYD,Cancelled,,departure,
D0 009_2026-06-11,D0 009,DHK,2026-06-11,21:40,"CVG, EMA",Delayed,,departure,
ET 3785_2026-06-12,ET 3785,ETH,2026-06-12,00:00,"MCT, MAD",Cancelled,,departure,
RH 4568_2026-06-12,RH 4568,HKC,2026-06-12,00:15,TPE,Cancelled,,departure,
RH 829_2026-06-12,RH 829,HKC,2026-06-12,00:15,PVG,Cancelled,,departure,
K4 702_2026-06-12,K4 702,CKS,2026-06-12,00:55,"DWC, TLV",Cancelled,,departure,
ET 3769_2026-06-12,ET 3769,ETH,2026-06-12,05:00,"EMA, IST",Cancelled,,departure,
3S 713_2026-06-12,3S 713,BOX,2026-06-12,05:35,"DXB, LEJ",Cancelled,,departure,
2G 102_2026-06-12,2G 102,HUA,2026-06-12,05:40,"ALA, BUD",Cancelled,,departure,
ET 3035_2026-06-12,ET 3035,ETH,2026-06-12,06:55,ADD,Cancelled,,departure,
5Y 5528_2026-06-12,5Y 5528,GTI,2026-06-12,07:00,ICN,Cancelled,,departure,
5C 850_2026-06-12,5C 850,ICL,2026-06-12,10:30,"DWC, TLV",Cancelled,,departure,
3S 547_2026-06-12,3S 547,BOX,2026-06-12,10:50,"BRU, LEJ",Cancelled,,departure,
SQ 7869X_2026-06-12,SQ 7869X,SIA,2026-06-12,14:15,SIN,Cancelled,,departure,
RH 9375_2026-06-12,RH 9375,HKC,2026-06-12,17:00,MAA,Cancelled,,departure,
5Y 8139_2026-06-12,5Y 8139,GTI,2026-06-12,17:55,"DEL, ANC",Cancelled,,departure,
7L 247_2026-06-12,7L 247,AZG,2026-06-12,18:10,GYD,Cancelled,,departure,
7L 572_2026-06-12,7L 572,AZG,2026-06-12,18:35,GYD,Cancelled,,departure,
WW 109_2026-06-12,WW 109,KXP,2026-06-12,22:00,KUL,Cancelled,,departure,
RH 829_2026-06-13,RH 829,HKC,2026-06-13,00:15,PVG,Cancelled,,departure,
TC 503_2026-06-13,TC 503,ATC,2026-06-13,04:10,MCT,Cancelled,,departure,
CB 857_2026-06-13,CB 857,ABB,2026-06-13,04:30,NVI,Cancelled,,departure,
ET 3601_2026-06-13,ET 3601,ETH,2026-06-13,07:10,ADD,Cancelled,,departure,
RH 371_2026-06-13,RH 371,HKC,2026-06-13,08:40,SIN,Cancelled,,departure,
RH 6651_2026-06-13,RH 6651,HKC,2026-06-13,09:55,DAC,Cancelled,,departure,
