flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
MS 510_2026-09-06,MS 510,MSR,2026-09-06,04:00,BKK,Dep 04:24,,,2026-09-07T16:11:06+08:00
LD 208_2026-09-06,LD 208,AHK,2026-09-06,04:05,NRT,Dep 04:04,,,2026-09-07T16:11:06+08:00
LD 720_2026-09-06,LD 720,AHK,2026-09-06,04:05,CTU,Dep 04:00,,,2026-09-07T16:11:06+08:00
LD 782_2026-09-06,LD 782,AHK,2026-09-06,04:15,PVG,Dep 04:23,,,2026-09-07T16:11:06+08:00
TH 3091_2026-09-06,TH 3091,RMY,2026-09-06,04:15,PEN,Dep 04:23,,,2026-09-07T16:11:06+08:00
5X 023_2026-09-06,5X 023,UPS,2026-09-06,04:35,"CGN,PHL",Dep 04:34,,,2026-09-07T16:11:06+08:00
LD 128_2026-09-06,LD 128,AHK,2026-09-06,04:50,ICN,Dep 04:56,,,2026-09-07T16:11:06+08:00
K4 223_2026-09-06,K4 223,CKS,2026-09-06,04:55,ANC,Dep 06:19,,,2026-09-07T16:11:06+08:00
LD 561_2026-09-06,LD 561,AHK,2026-09-06,05:00,"SGN,PEN",Dep 05:04,,,2026-09-07T16:11:06+08:00
ES 736_2026-09-06,ES 736,DHX,2026-09-06,05:00,"BLR,BAH",Dep 05:30,,,2026-09-07T16:11:06+08:00
TH 3508_2026-09-06,TH 3508,RMY,2026-09-06,05:00,KUL,Dep 04:58,,,2026-09-07T16:11:06+08:00
QY 657_2026-09-06,QY 657,BCS,2026-09-06,05:00,"GYD,LEJ",Dep 05:15,,,2026-09-07T16:11:06+08:00
EK 9839_2026-09-06,EK 9839,UAE,2026-09-06,05:10,DWC,Dep 05:17,,,2026-09-07T16:11:06+08:00
3S 713_2026-09-06,3S 713,BOX,2026-09-06,05:35,"DXB,LEJ",Dep 06:44,,,2026-09-07T16:11:06+08:00
3S 707_2026-09-06,3S 707,BOX,2026-09-06,05:45,"BAH,LEJ",Dep 06:08,,,2026-09-07T16:11:06+08:00
