flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
RH 332_2026-09-09,RH 332,HKC,2026-09-09,01:30,BKK,Est at 15:11 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
C6 7637_2026-09-09,C6 7637,MFX,2026-09-09,02:00,TAS,Est at 19:30 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
UO 671_2026-09-08,UO 671,HKE,2026-09-08,00:00,NGO,At gate 23:34 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
CX 5671_2026-09-08,CX 5671,CPA,2026-09-08,00:00,NGO,At gate 23:34 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
HX 462_2026-09-08,HX 462,CRK,2026-09-08,00:05,HLD,At gate 23:25 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
HX 547_2026-09-08,HX 547,CRK,2026-09-08,00:05,DAD,At gate 23:44 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
EY 6824_2026-09-08,EY 6824,ETD,2026-09-08,00:05,DAD,At gate 23:44 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
CX 636_2026-09-08,CX 636,CPA,2026-09-08,00:10,SIN,At gate 00:01,,arrival,2026-09-08T11:45:35+08:00
GF 4062_2026-09-08,GF 4062,GFA,2026-09-08,00:10,SIN,At gate 00:01,,arrival,2026-09-08T11:45:35+08:00
AY 5852_2026-09-08,AY 5852,FIN,2026-09-08,00:10,SIN,At gate 00:01,,arrival,2026-09-08T11:45:35+08:00
OM 5614_2026-09-08,OM 5614,MGL,2026-09-08,00:10,SIN,At gate 00:01,,arrival,2026-09-08T11:45:35+08:00
FJ 5463_2026-09-08,FJ 5463,FJI,2026-09-08,00:10,SIN,At gate 00:01,,arrival,2026-09-08T11:45:35+08:00
TW 639_2026-09-08,TW 639,TWB,2026-09-08,00:15,PUS,At gate 23:55 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
AC 015_2026-09-08,AC 015,ACA,2026-09-08,00:20,YVR,At gate 00:28,,arrival,2026-09-08T11:45:35+08:00
CX 469_2026-09-08,CX 469,CPA,2026-09-08,00:25,TPE,At gate 00:04,,arrival,2026-09-08T11:45:35+08:00
HX 337_2026-09-08,HX 337,CRK,2026-09-08,00:35,PEK,At gate 00:09,,arrival,2026-09-08T11:45:35+08:00
HU 8189_2026-09-08,HU 8189,CHH,2026-09-08,00:35,PEK,At gate 00:09,,arrival,2026-09-08T11:45:35+08:00
UO 651_2026-09-08,UO 651,HKE,2026-09-08,00:35,NRT,At gate 00:04,,arrival,2026-09-08T11:45:35+08:00
CX 5651_2026-09-08,CX 5651,CPA,2026-09-08,00:35,NRT,At gate 00:04,,arrival,2026-09-08T11:45:35+08:00
HX 631_2026-09-08,HX 631,CRK,2026-09-08,00:55,NRT,At gate 00:48,,arrival,2026-09-08T11:45:35+08:00
TK 8869_2026-09-08,TK 8869,THY,2026-09-08,00:55,NRT,At gate 00:48,,arrival,2026-09-08T11:45:35+08:00
UO 627_2026-09-08,UO 627,HKE,2026-09-08,01:10,ICN,At gate 00:34,,arrival,2026-09-08T11:45:35+08:00
CX 327_2026-09-08,CX 327,CPA,2026-09-08,01:15,SHA,At gate 00:45,,arrival,2026-09-08T11:45:35+08:00
CX 501_2026-09-08,CX 501,CPA,2026-09-08,01:55,NRT,At gate 01:09,,arrival,2026-09-08T11:45:35+08:00
