flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
K4 231_2026-07-15,K4 231,CKS,2026-07-15,19:40,,Est at 04:15 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
QF 7525_2026-07-15,QF 7525,QFA,2026-07-15,19:55,,,,departure,2026-07-15T15:39:21+08:00
QR 8402_2026-07-15,QR 8402,QTR,2026-07-15,19:55,,Est at 19:27,,departure,2026-07-15T15:39:21+08:00
AK 8534_2026-07-15,AK 8534,AXM,2026-07-15,20:25,,Est at 11:10 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
K4 254_2026-07-15,K4 254,CKS,2026-07-15,21:15,,Est at 17:51,,departure,2026-07-15T15:39:21+08:00
RH 318_2026-07-15,RH 318,HKC,2026-07-15,21:35,,Est at 11:00 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
D0 528_2026-07-15,D0 528,DHK,2026-07-15,21:35,,Est at 21:13,,departure,2026-07-15T15:39:21+08:00
RH 9458_2026-07-15,RH 9458,HKC,2026-07-15,21:35,,Delayed,,departure,2026-07-15T15:39:21+08:00
QF 7531_2026-07-15,QF 7531,QFA,2026-07-15,22:00,,Cancelled,,departure,2026-07-15T15:39:21+08:00
CV 7332_2026-07-15,CV 7332,CLX,2026-07-15,22:30,,Est at 23:35,,departure,2026-07-15T15:39:21+08:00
TK 6192_2026-07-15,TK 6192,THY,2026-07-15,22:35,,Est at 23:20,,departure,2026-07-15T15:39:21+08:00
CX 3017_2026-07-15,CX 3017,CPA,2026-07-15,22:35,,Est at 22:18,,departure,2026-07-15T15:39:21+08:00
CX 3036_2026-07-15,CX 3036,CPA,2026-07-15,22:35,,Est at 23:20,,departure,2026-07-15T15:39:21+08:00
3S 502_2026-07-15,3S 502,BOX,2026-07-15,23:15,,Est at 23:07,,departure,2026-07-15T15:39:21+08:00
SV 962_2026-07-15,SV 962,SVA,2026-07-15,23:40,,Est at 03:10 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
